LotArea,LotFrontage,MasVnrArea,SalePrice
8450,65,196,208500
9600,80,0,181500
11250,68,162,223500
9550,60,0,140000
14260,84,350,250000
14115,85,0,143000
10084,75,186,307000
6120,51,0,129900
7420,50,0,118000
11200,70,0,129500
11924,85,286,345000
10652,91,306,279500
6120,51,0,132000
10791,72,0,90000
13695,66,0,159000
7560,70,0,139000
14215,101,380,325300
7449,57,0,139400
9742,75,281,230000
4224,44,0,129900
14230,110,640,256300
7200,60,0,134800
11478,98,200,306000
16321,47,0,207500
6324,60,0,68500
8500,50,0,40000
11049,85,0,179900
10552,70,0,165500
7313,60,246,277500
13418,108,132,309000
10859,112,0,145000
8532,74,650,153000
7922,68,0,109000
6040,65,0,82000
8658,84,101,160000
16905,115,0,170000
7945,70,0,141000
7658,61,412,319900
12822,48,0,239686
11096,84,0,249700
4456,33,0,113000
7742,66,0,127000
6240,52,0,114500
8472,110,0,110000
50271,68,0,385000
7134,60,0,130000
10175,100,272,180500
2645,24,456,172500
11645,89,0,196500
13682,66,1031,438780
7200,60,0,124900
13072,63,0,158000
7200,60,0,101000
6442,44,178,202500
10300,50,0,140000
9591,76,344,317000
10665,72,167,226000
4608,47,0,80000
15593,81,0,225000
13651,95,1115,244000
7599,69,0,129500
10141,74,40,185000
10200,85,104,144900
5790,60,0,107400
1596,21,0,91000
8635,50,0,127000
10778,72,0,136500
10440,60,0,110000
13000,100,576,193500
4500,32,443,153500
10206,78,468,245000
8892,80,66,126500
16059,121,284,260000
11911,122,0,174000
3951,40,76,164500
8470,105,0,85000
8070,60,0,123600
7200,60,0,109900
8500,85,203,98600
13360,80,0,163500
7200,60,0,133900
9337,69,0,204750
10264,78,183,214000
10921,73,48,94750
10625,85,0,83000
9320,77,0,128950
9206,77,336,178000
7018,64,0,118964
10402,94,0,198900
9375,75,768,250000
10800,60,0,100000
6000,50,0,115000
8500,85,0,115000
11751,105,480,190000
9525,75,0,136900
9965,77,220,383970
7259,61,0,259500
3230,34,1129,176000
8536,74,0,155000
12376,90,0,320000
8461,65,0,163990
6060,50,0,100000
9464,75,135,136000
7892,55,0,153900
17043,48,0,181000
6780,60,0,84500
4388,55,0,87000
7590,69,266,155000
8973,69,85,150000
14200,88,309,226000
7388,75,0,150750
10335,78,0,180000
10400,80,288,174000
11070,82,70,171000
9066,73,320,230000
15426,65,0,231500
10500,70,0,115000
11645,78,0,260000
8520,71,0,166000
10335,78,183,204000
9100,70,336,125000
2522,24,50,130000
6120,51,0,105000
7500,63,120,141000
10356,120,0,122000
13891,107,436,372402
11340,84,0,125000
9600,60,0,79000
7200,60,0,109500
12003,92,84,269500
12552,100,0,254900
19378,134,456,320000
13688,110,664,412500
12182,95,226,220000
5500,55,0,103200
5400,40,0,152000
10106,62,0,127500
10562,86,300,325624
8244,62,0,183500
31770,141,112,215000
5306,44,0,239000
10197,80,491,163000
12416,47,132,184000
12615,84,0,243000
10029,97,268,211000
17423,63,748,501837
8520,60,0,100000
7588,54,0,200100
9060,60,98,120000
11426,63,0,200000
7438,92,0,127000
22950,90,0,475000
10410,60,0,135000
7018,64,275,153337
4923,41,0,286000
10570,70,0,315000
9017,68,0,192000
2522,24,50,130000
7180,60,0,127000
2280,24,0,148500
9416,79,205,311872
25419,174,0,235000
5520,92,0,104000
9591,76,262,274900
8546,80,0,140000
10125,75,0,171500
7000,50,0,112000
3500,50,0,110000
11851,99,0,180500
13673,40,0,143900
8250,75,260,145000
5604,67,0,98000
10420,83,0,186000
8640,72,0,252678
13568,43,0,156000
10011,72,64,134450
8450,65,266,210000
9906,57,0,107000
3010,43,16,167240
8990,73,0,204900
11475,85,0,179900
10500,70,0,97000
13472,103,922,386250
1680,21,142,112000
9950,82,290,290000
1869,21,127,106000
8521,70,0,125000
3182,43,16,192500
8760,73,220,148000
15138,174,506,403000
1680,21,297,94500
10650,75,0,128200
1680,21,604,89500
8773,65,98,185500
12030,93,254,318000
8741,52,0,113000
9000,75,36,262500
3880,40,0,110500
5000,63,0,79000
10762,75,0,120000
10400,80,102,241500
9142,69,0,137000
11310,75,0,140000
11317,72,101,180000
5350,55,0,76500
4750,44,481,235000
8366,65,0,173000
9350,85,108,158000
8400,70,0,145000
8738,66,302,230000
8791,64,0,207500
8814,68,180,220000
12435,80,172,231500
12702,70,0,97000
19296,120,399,176000
9588,69,270,276000
8471,88,46,151000
5500,50,0,130000
5232,30,0,73000
12090,78,210,175500
11207,70,0,185000
8400,60,0,179500
6900,71,0,120500
10728,84,0,266000
39104,73,0,241500
11764,92,348,290000
9600,80,183,139000
8314,76,0,124500
7264,55,0,205000
9196,129,0,201000
19138,140,0,141000
14450,107,315,415298
10005,83,299,192000
11287,82,340,228500
7200,60,68,185000
5063,34,166,207500
9612,74,72,244600
8012,50,0,179200
4251,35,0,164700
9786,77,0,159000
8730,60,0,153575
15611,120,0,233230
5687,55,0,135900
11409,60,0,131000
9600,80,238,167000
7937,37,0,142500
13710,75,0,152000
7399,66,1600,239000
11700,90,365,175000
14000,80,0,158500
15750,90,56,157000
16226,66,0,267000
13704,118,150,205000
9800,70,0,149900
18386,87,0,295000
10386,80,246,305900
13474,116,246,225000
12378,90,0,360000
8000,50,0,132000
7800,65,0,119900
215245,150,0,375000
9600,60,0,178000
7795,71,0,188500
13005,94,278,260000
9000,75,0,270000
9900,90,256,260000
16259,111,370,342643
12099,99,388,354000
10380,86,172,301000
5820,49,0,126175
11275,96,300,242000
